person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Cleopatra Georgescu,cleopatrageorgescu,cleopatrageorgescu@email.ro,6270505196127,1926-06-25,"Bulevardul Alina Eftimie, Alesd, 264475",0771 306 688,a6:32:7f:e7:05:d1,202.40.215.26,RO80ZEJK7984639469673386,2024-09-14 12:04:17,30869,66,289,30285,dccfe927-6b82-40a2-b6ed-556f2ac75524
Avram Pușcașu,avrampușcașu,avrampușcașu@141.ro,8261006418434,1963-09-15,"Bulevardul Tomescu, Fetesti-Gara, 868878",0734 753 167,54:59:de:27:bf:2e,221.32.251.188,RO43WYHF5734406830014232,2024-09-14 12:04:17,35932,566,752,1373802,e6890b8d-5b28-4612-b10b-1d031c3074f9
Zenovia Oprea,zenoviaoprea,zenoviaoprea@email.ro,6060128404416,1919-01-07,"Drumul Dobre Nr. 182, Campulung, 450194",0240 654 938,3c:95:56:72:06:f1,101.12.235.242,RO70OYEO7703001502711600,2024-09-14 12:04:17,20862,602,563,1911156,073d568a-6353-455c-a2c2-3de00ba86f2d
Aurelian Niță,aurelianniță,aurelianniță@post.ro,6550624190421,1917-02-28,"Strada Preda Nr. 94 Bl. 48  Sc. 31 Ap. 268, Petrosani, 797186",0745 641 263,2e:8c:b5:3b:75:33,158.30.78.168,RO48ARPR0602001806684308,2024-09-14 12:04:17,9346,802,680,1255094,d77e4dbb-6cd6-4b71-a512-5208ab552f1b
Olimpia Dima,olimpiadima,olimpiadima@email.ro,8350931238774,1923-04-01,"Bulevardul Nistor Nr. 801 Bl. 94  Sc. 41 Ap. 381, Teius, 203605",0237 552 815,50:01:90:f4:32:f1,163.8.51.113,RO54FECS3069241555441882,2024-09-14 12:04:17,5170,330,642,645907,e0984b89-08a1-4fe0-abb7-653ddf05742a
Iolanda Dinu,iolandadinu,iolandadinu@141.ro,6370207513755,1952-05-10,"Aleea Voinea Nr. 717, Ineu, 904058",0756 096 737,64:a2:ec:5d:fc:c6,41.73.177.65,RO22ODEK6208175552854479,2024-09-14 12:04:17,19085,576,680,1186428,bb9284a8-d101-488f-9b60-558599084d90
Eftimia Dinu,eftimiadinu,eftimiadinu@kappa.ro,8340802204163,2006-10-26,"Aleea Popa Nr. 800 Bl. 13  Sc. 45 Ap. 780, Cajvana, 643628",0729 505 316,30:10:f2:7f:c4:ce,91.66.195.10,RO66UHKQ8944027842688394,2024-09-14 12:04:17,22844,862,586,1947613,04d84197-41f7-4aa8-a3d2-0108f8658af3
Francisc Dinu,franciscdinu,franciscdinu@email.ro,3740916016911,1913-01-12,"Strada Albu Nr. 298 Bl. 74  Sc. 30 Ap. 561, Sadova, 542812",0257 567 953,34:d1:c4:04:32:e6,147.204.127.56,RO36KSBO4946977989697446,2024-09-14 12:04:17,14842,426,398,76486,757d6c05-3f28-4216-8a8a-1e4c58445a2b
Achim Preda,achimpreda,achimpreda@post.ro,3510712243841,1992-02-22,"Aleea Diaconu Nr. 274, Vlahita, 991827",0741 826 507,86:00:dd:75:78:45,17.93.246.70,RO49VKJX1206704663159091,2024-09-14 12:04:17,29044,38,297,1414254,ded9ff13-a4e4-4d11-a768-6f77530900a8
Anaida Toma,anaidatoma,anaidatoma@zzup.ro,7950221186399,1975-09-22,"Intrarea Manole Nr. 524 Bl. 78  Sc. 43 Ap. 534, Valea Mare (Negresti), 937818",0237 325 301,6a:54:63:25:2b:fe,188.66.54.129,RO81MQYO2613126853099563,2024-09-14 12:04:17,25271,197,617,645795,4429270a-630d-4e5d-88b6-a752b6b868da
Eugenia Nistor,eugenianistor,eugenianistor@141.ro,3740912381828,1916-12-01,"Aleea Tabacu Nr. 832, Tasnad, 790116",0731 027 058,12:b0:e9:f3:ab:2b,100.38.108.90,RO49AWAA1077007553154800,2024-09-14 12:04:17,5875,451,655,1595353,91daeb0f-ed9f-4c56-8185-55c496d4373f
Manole Marin,manolemarin,manolemarin@141.ro,7320408084094,1947-09-23,"Bulevardul Anda Ardelean, Petrosani, 879539",0247 035 364,44:f9:ff:69:3c:f3,184.7.31.247,RO62BENR1483106177266521,2024-09-14 12:04:17,26596,266,665,6291,01142111-220e-476a-b149-9c7a881048f4
Blanduzia Toma,blanduziatoma,blanduziatoma@zzup.ro,2810729293186,1974-06-22,"Aleea Nicuță Tabacu Nr. 48 Bl. 50  Sc. 14 Ap. 519, Ruscova, 702661",0231 033 110,be:92:07:b3:fe:d2,223.87.27.164,RO43QKVE6562053397101370,2024-09-14 12:04:17,1600,998,173,1446769,94ff6227-531e-4c8c-a489-0020b467eba3
Luminița Ene,luminițaene,luminițaene@email.ro,5200230419341,1955-12-24,"Aleea Pușcașu Nr. 57 Bl. 23  Sc. 55 Ap. 252, Modelu, 314540",0752 012 076,8e:c2:0c:02:44:02,204.138.231.207,RO26XWPQ6512631335074946,2024-09-14 12:04:17,34524,437,241,1017902,2717ae7b-dc46-4675-bf9d-6cd8d93fe81b
Dana Dobre,danadobre,danadobre@kappa.ro,2940917526210,2010-02-28,"Aleea Pușcașu Nr. 98 Bl. 95  Sc. 63 Ap. 706, Straja, 497736",0246 556 633,06:bd:7d:64:05:42,205.55.64.105,RO18LVOC3530083686846551,2024-09-14 12:04:17,14829,33,174,648494,915b208a-c66d-4b23-ad98-81c5390576d8
Fiona Diaconescu,fionadiaconescu,fionadiaconescu@acasa.ro,8420709252524,1961-03-31,"Bulevardul Nistor Nr. 47, Tunari, 841382",0760 583 872,16:25:2f:83:82:a4,65.169.94.215,RO69DITT5968505265996658,2024-09-14 12:04:17,21608,561,36,520902,1e83e2d0-d0ed-4205-a045-d6c2b831e1bc
Victoria Manole,victoriamanole,victoriamanole@zzup.ro,2410717415141,1973-11-07,"Bulevardul Carolina Stănescu Nr. 184, Gilau, 942173",0732 593 989,c2:04:98:bf:d1:f2,197.10.135.224,RO49KBNH0412278149076722,2024-09-14 12:04:17,29505,127,277,1428582,77a08c15-d696-49d8-9cb3-98dc3f33ded6
Octavia Toma,octaviatoma,octaviatoma@gmail.com,6731005083519,2019-09-29,"Strada Amanda Voinea Nr. 44 Bl. 69  Sc. 23 Ap. 693, Deva, 762271",0749 113 512,c0:50:0a:05:4c:4f,162.130.30.241,RO54AIWO7940465043749727,2024-09-14 12:04:17,9862,144,552,390580,5985e7f1-07a5-4e8c-b0bb-4ca064df21cb
Ladislau Marin,ladislaumarin,ladislaumarin@141.ro,5110401401044,2013-11-01,"Bulevardul Dobre Nr. 574 Bl. 33  Sc. 32 Ap. 204, Gaesti, 779085",0246 960 653,40:ce:a8:a9:9c:f4,185.129.55.12,RO39YLWE4972895703301218,2024-09-14 12:04:17,22164,23,704,239055,37c998b6-563c-4d11-9662-a192afc7230d
Luciana Pop,lucianapop,lucianapop@post.ro,1320718133985,1935-02-12,"Soseaua Stancu, Caracal, 794196",0748 606 487,40:f8:1c:ea:6e:14,22.82.202.9,RO56JIOX6092894525537291,2024-09-14 12:04:17,31027,332,529,507376,2cf13e38-f0ad-4d73-b0a8-670bd736ef0e
Lioara Dinu,lioaradinu,lioaradinu@141.ro,7321215306078,1936-12-09,"Drumul Mocanu Nr. 50 Bl. 35  Sc. 99 Ap. 148, Popesti-Leordeni, 867827",0238 354 522,06:7a:79:10:34:d6,83.56.179.109,RO88ESMB8325846518681090,2024-09-14 12:04:17,8740,809,344,254221,f070b530-15ff-479f-a8d9-e3ea5f66bbf7
Safta Tabacu,saftatabacu,saftatabacu@141.ro,3941116033351,1918-10-16,"Soseaua Aanei, Vulcan, 882256",0247 444 611,44:b8:cc:b9:3f:d9,203.59.46.58,RO87LSLE9379368573338808,2024-09-14 12:04:17,17357,144,666,985422,4d626466-3b04-4096-9b51-96205dad0593
Ina Stancu,inastancu,inastancu@gmail.com,8431224099808,1952-05-14,"Drumul Ene, Cluj-Napoca, 601267",0244 926 959,10:6f:ea:2f:cb:9b,42.151.45.227,RO07WPXL4682861173577569,2024-09-14 12:04:17,18129,232,155,1261953,1e9a8496-2f78-415a-897e-0b391bb031db
Agnos Dima,agnosdima,agnosdima@email.ro,2870110175761,2015-07-21,"Soseaua Dobre Nr. 59, Dragasani, 814355",0740 916 403,68:93:47:b4:0e:52,211.111.72.29,RO15USHH5206418181663992,2024-09-14 12:04:17,14663,1000,448,1552186,ffefe5a5-1d10-4d47-81cc-883f93ae02ab
Zoe Marin,zoemarin,zoemarin@141.ro,7670105188767,2005-07-29,"Strada Decebal Diaconescu Nr. 80 Bl. 54  Sc. 45 Ap. 562, Ramnicu Valcea, 411530",0751 611 271,2e:98:5c:6c:11:da,27.195.151.205,RO50DLCN3717749804765163,2024-09-14 12:04:17,19540,144,502,1970961,7ec3d375-ffaf-4759-b1cc-1b729c9658b2
Lorin Nemeș,lorinnemeș,lorinnemeș@post.ro,8670525176271,1961-01-18,"Drumul Aanei Nr. 344, Radauti, 392868",0722 856 081,bc:59:5c:90:bb:bb,211.251.75.104,RO12HBSW2875191161310107,2024-09-14 12:04:17,10713,88,336,653783,2d578290-b6ba-4550-bfd7-8f428870639f
Costin Dobre,costindobre,costindobre@zzup.ro,3161202195311,1985-05-26,"Intrarea Julieta Cristea Nr. 68 Bl. 16  Sc. 63 Ap. 947, Dragu-Brad, 276371",0770 181 334,ee:f7:ef:93:e7:ae,13.233.162.197,RO81NPFV7770335715603319,2024-09-14 12:04:17,16472,443,499,1993369,d21936a4-c264-41a0-bef4-6c4ef95fc3da
Anabela Dochioiu,anabeladochioiu,anabeladochioiu@acasa.ro,5330722360168,1958-01-26,"Strada Mocanu Nr. 58 Bl. 29  Sc. 32 Ap. 929, Toflea, 409916",0738 606 599,fc:cf:97:d0:ad:f3,20.175.108.132,RO14MMUI9961548449739458,2024-09-14 12:04:17,25962,732,80,334598,38dd05ef-507a-4a6e-887f-1079cc994c4f
Eusebiu Cristea,eusebiucristea,eusebiucristea@zzup.ro,8920605156241,1997-12-27,"Aleea Cristea Nr. 794, Floresti, 602230",0261 730 831,78:0c:0e:cb:0f:58,176.42.226.178,RO34VKOM7502716260050435,2024-09-14 12:04:17,26090,424,349,1940163,ef6cdae0-9961-499f-b256-c866b6d5f702
Zenobia Albu,zenobiaalbu,zenobiaalbu@kappa.ro,6750523370471,1974-03-02,"Drumul Ionescu Nr. 33 Bl. 78  Sc. 94 Ap. 593, Urlati, 380651",0258 892 556,c0:be:57:ac:cf:88,165.218.96.137,RO27EOCV2993227033565965,2024-09-14 12:04:17,13969,23,139,1215405,6d673178-17e3-4a25-bbd1-d3c214ba6e5a
Cosmin Suciu,cosminsuciu,cosminsuciu@acasa.ro,3560712229468,1934-01-25,"Strada Angela Preda Nr. 40 Bl. 60  Sc. 11 Ap. 445, Sannicolau Mare, 252880",0728 553 421,fa:8c:fe:83:7f:b0,71.255.133.218,RO16JYXX5306388034373197,2024-09-14 12:04:17,12625,435,258,1605743,a1a1a34d-9000-4af9-b004-bdbdfda8b33e
Eftimie Nemeș,eftimienemeș,eftimienemeș@kappa.ro,5271007349930,2006-03-03,"Soseaua Manole Nr. 39 Bl. 29  Sc. 61 Ap. 121, Harlau, 127844",0730 485 883,e4:eb:d3:08:31:cd,20.127.213.5,RO04EJLA3790101703793143,2024-09-14 12:04:17,11709,353,670,31452,884ca9d9-61f7-40cc-9d15-1d9f0276f1c4
Alis Stănescu,alisstănescu,alisstănescu@zzup.ro,5091226353063,2022-11-05,"Drumul Carmina Marin Nr. 25 Bl. 68  Sc. 51 Ap. 720, Boldesti-Scaeni, 873795",0729 478 627,d6:67:6c:ba:ba:2c,123.219.89.96,RO32IUXT7974756223580195,2024-09-14 12:04:17,27966,837,56,1156831,32db3408-d9d8-4bea-8af1-1cd1ebc55419
Luciana Tudor,lucianatudor,lucianatudor@post.ro,3481125202383,1952-02-10,"Intrarea Dinu, Valea Mare (Babeni), 158314",0235 257 862,50:41:12:b1:08:a0,42.66.135.96,RO47SLSK0176406377489321,2024-09-14 12:04:17,2288,765,715,1139412,b74e7ff5-25c2-4bc8-b06a-f673ca06d7da
Zina Mazilescu,zinamazilescu,zinamazilescu@kappa.ro,2910907403806,1977-01-29,"Soseaua Pop Nr. 428 Bl. 56  Sc. 77 Ap. 553, Titu, 848077",0729 102 980,30:77:81:68:58:eb,167.127.66.210,RO34KFKT1156194053742871,2024-09-14 12:04:17,25979,290,551,326734,7da5f3d0-d04f-475f-afdf-a958935df897
Adam Stancu,adamstancu,adamstancu@kappa.ro,4471017101889,1910-03-18,"Strada Melina Marin Nr. 97 Bl. 66  Sc. 98 Ap. 575, Lumina, 862353",0258 066 373,0e:0a:4d:21:03:5a,67.221.60.83,RO64BSKR3449935868875441,2024-09-14 12:04:17,16065,465,488,1438104,a52fb0f8-9684-4b6e-89c5-e33e906a6ac6
Stelian Eftimie,stelianeftimie,stelianeftimie@141.ro,1150921416088,1990-05-17,"Aleea Severina Gheorghiu Nr. 25, Moldova Veche, 278751",0753 341 071,7e:d0:a8:f7:64:55,35.211.111.42,RO97DITF2549248813288041,2024-09-14 12:04:17,6026,688,656,1055403,2bf24863-d694-45da-a760-2369c417a483
Elisaveta Oprea,elisavetaoprea,elisavetaoprea@zzup.ro,4920316332927,1938-06-12,"Bulevardul Stan Nr. 39 Bl. 40  Sc. 79 Ap. 492, Toflea, 355049",0266 469 339,34:9e:33:f1:e8:fe,208.194.233.6,RO96UULA9145708012470889,2024-09-14 12:04:17,22652,258,276,1894755,faf3e2d5-b0b3-4568-8d8f-752446a964a7
Emanoil Tabacu,emanoiltabacu,emanoiltabacu@acasa.ro,1280306212534,1952-11-23,"Drumul Niță Nr. 84 Bl. 40  Sc. 84 Ap. 187, Targu Neamt, 749222",0244 049 049,d8:9d:a6:16:41:c9,206.144.202.57,RO89QXHY3793654351960907,2024-09-14 12:04:17,22630,528,473,763668,2686c7da-a0d4-4dc2-8256-4a488aac3b97
Lelia Pop,leliapop,leliapop@acasa.ro,6370308306259,1927-05-29,"Soseaua Suciu Nr. 95 Bl. 39  Sc. 72 Ap. 464, Cobadin, 375710",0238 382 296,94:4b:2a:62:a6:22,7.27.108.75,RO23FDBK8958738573572711,2024-09-14 12:04:17,12868,613,794,381282,43d58552-64f3-4dc9-83a9-004f6760722a
Ionela Eftimie,ionelaeftimie,ionelaeftimie@acasa.ro,1261123141716,1934-08-15,"Bulevardul Diaconu Nr. 724 Bl. 55  Sc. 84 Ap. 905, Dorohoi, 152493",0772 881 088,5e:70:f0:44:84:1c,13.146.7.235,RO53TUTM1718775143009715,2024-09-14 12:04:17,32900,107,54,1371829,28ac62bd-53f4-419b-8e43-bd4c11d10b2d
Suzana Nistor,suzananistor,suzananistor@141.ro,5840327400133,2006-01-01,"Intrarea Tabacu, Odorheiu Secuiesc, 911605",0748 624 546,24:81:87:fa:c4:54,121.157.217.231,RO34NMWJ3128581582885941,2024-09-14 12:04:17,16846,153,772,1404301,71105cbb-a1db-49fb-9294-ec7fa4396973
Alex Voinea,alexvoinea,alexvoinea@acasa.ro,3270111323909,1941-10-08,"Strada Preda, Sinaia, 848789",0784 909 825,04:10:d4:ee:63:27,19.88.224.5,RO27DBOO8831936349367091,2024-09-14 12:04:17,22175,474,247,1344471,b50d9470-e0fc-429b-842a-cc1336e4e03f
Romanița Nistor,romanițanistor,romanițanistor@email.ro,3120630455844,1938-11-22,"Strada Diaconu Nr. 75, Caracal, 567206",0264 534 887,6c:12:8c:97:a8:0c,173.164.210.59,RO15DRPG1066516249329941,2024-09-14 12:04:17,2546,669,336,525151,a93e3227-1dcd-4c55-9764-c0556c6ebe67
Gregorian Barbu,gregorianbarbu,gregorianbarbu@post.ro,4400704044866,1988-12-18,"Strada Mioara Tabacu Nr. 151 Bl. 18  Sc. 44 Ap. 152, Poienile de sub Munte, 650027",0238 526 156,86:03:ba:a4:de:2b,146.53.118.104,RO97QABH2179275584175900,2024-09-14 12:04:17,20186,598,747,1063337,876ff39e-6745-4b36-90cb-56ecfe3a17d9
Călin Suciu,călinsuciu,călinsuciu@kappa.ro,5120305115956,1926-03-20,"Bulevardul Sabrina Nistor Nr. 521, Sangeorz-Bai, 496516",0247 401 219,ca:22:54:2f:23:59,98.140.90.39,RO10QLRW3731040661253164,2024-09-14 12:04:17,19006,11,730,1157591,7ac0ede1-cdb8-4a00-afd3-160086cb5d54
Marga Gheorghiu,margagheorghiu,margagheorghiu@acasa.ro,8030615179758,2001-07-05,"Soseaua Lidia Stan Nr. 334, Teius, 696866",0244 130 979,12:54:51:04:aa:a8,42.201.209.158,RO26TDGO2855520024020761,2024-09-14 12:04:17,19043,318,716,1558751,b3423f85-debf-4d22-8dc7-a1c85adb6650
Mirona Tomescu,mironatomescu,mironatomescu@acasa.ro,5040220227592,2015-11-18,"Intrarea Tomescu, Draganesti-Olt, 725152",0756 275 510,d4:b3:5a:51:dc:c4,7.203.39.229,RO32YVCW5651395821502205,2024-09-14 12:04:17,1570,220,775,368546,c2674168-e5a3-4fde-b35b-f3634224f40d
Dafina Tabacu,dafinatabacu,dafinatabacu@post.ro,1190323072410,1993-11-08,"Drumul Dima Nr. 51 Bl. 31  Sc. 73 Ap. 665, Piatra-Neamt, 904302",0243 340 089,52:54:ec:33:71:d5,217.205.190.255,RO14JZCE7480401098993225,2024-09-14 12:04:17,11215,59,398,1067598,82f7338d-1ad5-4a1a-8460-950ccb5d61c4
George Preda,georgepreda,georgepreda@post.ro,6610523287347,2007-08-14,"Bulevardul Lucențiu Nistor Nr. 759 Bl. 39  Sc. 18 Ap. 194, Adjud, 558839",0267 188 581,3e:6b:09:41:fc:9b,119.3.11.204,RO07ISOD6851248816493622,2024-09-14 12:04:17,11179,587,332,1567267,fd0fc890-e275-4056-9cc3-a0ca66d4e21a
Dumitru Popa,dumitrupopa,dumitrupopa@post.ro,3270212203287,1924-09-16,"Soseaua Dima Nr. 751 Bl. 88  Sc. 25 Ap. 417, Orsova, 665698",0720 492 397,da:b0:4d:51:be:0b,204.156.231.132,RO05EFEJ5933436004304748,2024-09-14 12:04:17,27039,77,97,1015010,7aac281a-52b5-4ebe-ab17-4ee602bf9dfe
Valeria Stănescu,valeriastănescu,valeriastănescu@zzup.ro,4071217160188,1961-06-08,"Bulevardul Ludmila Cristea Nr. 16 Bl. 19  Sc. 90 Ap. 855, Falticeni, 932828",0268 933 257,1a:0b:e6:69:69:50,54.9.77.147,RO68GMEA8981045112203881,2024-09-14 12:04:17,12081,895,356,1304691,9b7fbd24-7818-47ad-b3f2-141cc1ee1942
Inocențiu Oprea,inocențiuoprea,inocențiuoprea@kappa.ro,1490105275737,1936-04-11,"Bulevardul Diana Ababei Nr. 252 Bl. 89  Sc. 56 Ap. 967, Beclean, 810525",0765 371 182,4c:3c:c1:28:80:e8,182.189.213.16,RO78BUXO3530003359013256,2024-09-14 12:04:17,1678,645,128,1144656,51b418f8-321c-415d-af9d-b11e2c01b439
Dorin Manole,dorinmanole,dorinmanole@141.ro,6631215377818,2005-12-09,"Soseaua Voinea Nr. 58, Segarcea, 752659",0246 076 552,b6:f5:10:47:f1:46,54.150.236.95,RO14BJGT1056667944400406,2024-09-14 12:04:17,16720,55,199,1525810,d32e526e-8ff7-4ac6-8c3f-9835e03a7c5d
Gina Albu,ginaalbu,ginaalbu@email.ro,8070326409929,1914-11-18,"Bulevardul Ene Nr. 46, Poiana Mare, 281286",0771 998 729,be:90:dd:25:cc:55,194.204.46.193,RO40SLRI3068194226776258,2024-09-14 12:04:17,19689,987,677,1210169,77c0eec5-e722-4ecb-b3e9-0f7d811b93eb
Anatolie Preda,anatoliepreda,anatoliepreda@gmail.com,5080525213616,1951-02-01,"Strada Voinea, Busteni, 606136",0254 513 246,62:3f:df:b2:cc:45,77.13.247.39,RO61WTZO8105505313208445,2024-09-14 12:04:17,25774,668,540,751737,a51b9c92-cc4e-4b46-9eab-97f47ffd907e
Jana Stan,janastan,janastan@email.ro,4821106282306,1916-09-16,"Drumul Crenguța Tomescu, Zimnicea, 619480",0258 070 788,f8:08:b4:49:af:bd,72.246.227.73,RO05SONF7241850463467981,2024-09-14 12:04:17,35337,846,176,815348,b7989a0e-cc97-4d7d-8dee-168baeca386c
Sava Dinu,savadinu,savadinu@gmail.com,7450631358849,2015-05-22,"Strada Georgescu, Arad, 977766",0769 106 438,e4:93:5e:42:51:4a,29.185.150.65,RO90HBCW2696916617393374,2024-09-14 12:04:17,26866,207,583,1871178,e9ca2521-5ac5-4cf7-9a82-69a1f36d3682
Roberta Stănescu,robertastănescu,robertastănescu@141.ro,1430904067803,1946-11-07,"Intrarea Ababei, Saveni, 241529",0744 198 561,06:7f:3f:b3:42:f4,29.81.236.47,RO94VEFG7117943436047755,2024-09-14 12:04:17,34934,436,425,401059,a9b651fa-5331-4d34-bd8c-015599999af1
Dorina Tabacu,dorinatabacu,dorinatabacu@zzup.ro,6090927253690,1946-05-02,"Intrarea Iustinian Mocanu Nr. 670, Sebis, 274911",0729 513 610,54:9c:00:8b:19:f8,151.241.157.21,RO52ZNDA0723612145770071,2024-09-14 12:04:17,466,7,275,1034785,d6bd9860-908a-4527-bc9c-5ebb7c54891b
Albertina Dochioiu,albertinadochioiu,albertinadochioiu@gmail.com,4480118264511,1930-09-06,"Intrarea Albu Nr. 74, Dragu-Brad, 957659",0242 756 500,ae:32:d2:ca:2d:35,79.121.194.141,RO50NGHW1405645953785298,2024-09-14 12:04:17,6984,800,777,46067,ca2ff03b-1741-4612-8874-b96045c68bb6
Speranța Popescu,speranțapopescu,speranțapopescu@post.ro,4081213221510,1914-12-30,"Strada Mocanu Nr. 27, Podu Iloaiei, 443779",0786 003 966,dc:34:13:46:6e:48,25.15.174.117,RO59OPAX7085615462476007,2024-09-14 12:04:17,20702,820,301,969674,aebd2959-d3f4-46a4-af89-3286829479db
Suzana Stan,suzanastan,suzanastan@kappa.ro,7811205018583,1928-01-01,"Bulevardul Felix Dinu Nr. 176, Baia Sprie, 614262",0741 379 682,a2:df:13:32:1c:38,21.100.53.136,RO37LRPD6934789611800835,2024-09-14 12:04:17,14158,860,303,1183100,d7f498a9-2d03-4f62-a2de-0c02e8218ede
Steluța Tomescu,steluțatomescu,steluțatomescu@gmail.com,8720722409459,2021-05-29,"Drumul Marin Nr. 722, Tulcea, 669356",0784 541 847,ee:f1:b4:61:8e:cf,87.81.63.224,RO18YQTN6522942134441293,2024-09-14 12:04:17,11738,368,774,1573520,a976cfe9-e37f-41ca-9aa8-ffa881253ade
Ionelia Mazilescu,ioneliamazilescu,ioneliamazilescu@zzup.ro,1841121022475,1938-07-14,"Bulevardul Jenel Tomescu Nr. 893 Bl. 44  Sc. 28 Ap. 573, Salonta, 729800",0731 265 419,34:0d:3a:35:d4:d2,93.168.66.238,RO88DDPV9033934119159257,2024-09-14 12:04:17,2921,697,54,76216,f9a99262-1e42-43d3-8c84-d2cb1d8c5b2b
Iancu Tabacu,iancutabacu,iancutabacu@zzup.ro,7300525373849,1999-07-18,"Strada Lucian Tomescu Nr. 92, Otopeni, 135858",0255 202 759,82:09:61:6d:1b:6a,94.172.8.128,RO53GZSC7713878880514158,2024-09-14 12:04:17,2925,837,244,1454009,051d0668-2f89-44e8-85b8-dbbf266412c7
Daciana Mocanu,dacianamocanu,dacianamocanu@zzup.ro,3550609381519,2001-02-26,"Bulevardul Dima Nr. 74, Valea lui Mihai, 870438",0711 851 123,a2:53:45:ab:bf:ab,115.136.131.244,RO87OMZN6692256372329535,2024-09-14 12:04:17,31118,598,316,1581304,2f09c0ed-4be1-43bb-b348-320679f58f10
